timestamp,reflectivity_max,reflectivity_mean,brightness_temp_min,motion_vector_x,motion_vector_y,temperature,dew_point,pressure,wind_speed,wind_gust,wind_direction,visibility,rain,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,wind_direction_weather,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,last_updated_epoch_air,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,last_updated_epoch_loc,country,location_name,region,latitude,longitude,timezone,last_updated
2023-08-25 21:50:00,,,,,,,,,,,,,,1693000200.0,30.9,87.6,2.2,3.6,82.0,E,1004.0,29.65,0.1,0.0,69.0,73.0,36.6,97.9,10.0,6.0,7.0,2.7,4.3,1693000200.0,507.4,86.6,2.3,2.6,54.2,59.7,3.0,7.0,1693000200.0,India,Bongaigaon,Assam,26.47,90.57,Asia/Kolkata,2023-08-29 10:45:00
2023-08-25 21:55:00,,,,,,,,,,,,,,1693000500.0,30.7,87.3,3.8,6.1,11.0,NNE,1009.0,29.8,0.0,0.0,55.0,42.0,33.5,92.3,10.0,6.0,8.0,4.5,7.2,1693000500.0,230.3,36.1,3.2,1.0,3.9,6.3,1.0,1.0,1693000500.0,India,Erode,Tamil Nadu,11.35,77.73,Asia/Kolkata,2023-08-29 10:45:00
2023-08-25 22:00:00,,,,,,,,,,,,,,1693000800.0,28.3,82.9,2.2,3.6,250.0,WSW,1008.0,29.76,0.0,0.0,62.0,10.0,30.4,86.7,10.0,6.0,7.0,1.8,2.9,1693000800.0,383.9,45.4,4.3,2.9,31.8,40.0,2.0,3.0,1693000800.0,India,Raigarh,Chhattisgarh,21.9,83.4,Asia/Kolkata,2023-08-30 08:45:00
2023-08-25 22:05:00,,,,,,,,,,,,,,1693001100.0,22.7,72.9,3.1,5.0,216.0,SW,1008.0,29.76,0.0,0.0,79.0,15.0,24.9,76.8,10.0,6.0,1.0,6.5,10.4,1693001100.0,310.4,17.5,3.9,1.0,29.3,38.7,2.0,3.0,1693001100.0,India,Jabalpur,Madhya Pradesh,23.17,79.95,Asia/Kolkata,2023-08-31 05:15:00
2023-08-25 22:10:00,,,,,,,,,,,,,,1693001400.0,26.1,79.0,3.4,5.4,170.0,S,1005.0,29.66,0.0,0.0,66.0,9.0,27.7,81.9,10.0,6.0,1.0,6.9,11.2,1693001400.0,1134.9,2.4,15.8,1.6,121.3,142.6,4.0,10.0,1693001400.0,India,Sangrur,Punjab,30.23,75.83,Asia/Kolkata,2023-08-31 05:15:00
2023-08-25 22:15:00,,,,,,,,,,,,,,1693001700.0,17.9,64.2,4.3,6.8,88.0,E,1009.0,29.78,0.0,0.0,82.0,6.0,17.9,64.2,10.0,6.0,1.0,8.9,14.4,1693001700.0,480.7,32.2,5.3,1.6,39.6,50.0,2.0,4.0,1693001700.0,India,Mandi,Himachal Pradesh,31.72,76.92,Asia/Kolkata,2023-09-01 05:15:00
2023-08-25 22:20:00,,,,,,,,,,,,,,1693002000.0,26.1,79.0,2.5,4.0,333.0,NNW,1008.0,29.75,0.0,0.0,67.0,31.0,27.8,82.0,10.0,6.0,1.0,4.5,7.2,1693002000.0,333.8,14.8,5.7,0.4,25.6,33.9,2.0,3.0,1693002000.0,India,Amravati,Maharashtra,20.93,77.75,Asia/Kolkata,2023-09-01 05:15:00
2023-08-25 22:25:00,,,,,,,,,,,,,,1693002300.0,27.3,81.1,3.1,5.0,258.0,WSW,1005.0,29.68,0.0,0.0,82.0,28.0,31.0,87.8,10.0,6.0,1.0,5.4,8.6,1693002300.0,1028.1,2.1,36.3,9.2,148.2,160.6,4.0,10.0,1693002300.0,India,Vizianagaram,Andhra Pradesh,18.12,83.42,Asia/Kolkata,2023-09-02 05:15:00
2023-08-25 22:30:00,,,,,,,,,,,,,,1693002600.0,27.0,80.6,11.2,18.0,243.0,WSW,1006.0,29.7,0.0,0.0,52.0,5.0,27.8,82.0,10.0,6.0,1.0,20.6,33.1,1693002600.0,213.6,55.1,2.5,0.9,11.6,31.9,1.0,1.0,1693002600.0,India,Udaipur,Rajasthan,27.72,75.48,Asia/Kolkata,2023-09-02 05:30:00
2023-08-25 22:35:00,,,,,,,,,,,,,,1693002900.0,29.3,84.7,3.6,5.8,301.0,WNW,1002.0,29.59,0.0,0.0,71.0,15.0,33.5,92.3,10.0,6.0,7.0,6.9,11.2,1693002900.0,834.5,65.1,6.3,7.3,96.0,99.2,4.0,10.0,1693002900.0,India,Lakhisarai,Bihar,25.18,86.08,Asia/Kolkata,2023-09-03 05:15:00
2023-08-25 22:40:00,,,,,,,,,,,,,,1693003200.0,27.6,81.7,4.9,7.9,245.0,WSW,1003.0,29.61,0.0,0.0,60.0,8.0,29.2,84.6,10.0,6.0,1.0,10.3,16.6,1693003200.0,423.9,24.0,8.1,2.1,40.0,63.8,2.0,4.0,1693003200.0,India,Bhadohi,Uttar Pradesh,25.42,82.57,Asia/Kolkata,2023-09-03 05:15:00
2023-08-25 22:45:00,,,,,,,,,,,,,,1693003500.0,26.5,79.7,9.6,15.5,316.0,NW,1006.0,29.71,0.4,0.02,82.0,63.0,29.5,85.1,10.0,6.0,1.0,15.7,25.2,1693003500.0,213.6,17.5,2.0,0.5,7.6,9.6,1.0,1.0,1693003500.0,India,Chandel,Goa,15.73,73.88,Asia/Kolkata,2023-09-04 05:15:00
2023-08-25 22:50:00,,,,,,,,,,,,,,1693003800.0,23.1,73.6,5.4,8.6,293.0,WNW,1004.0,29.65,0.0,0.0,86.0,47.0,25.3,77.5,10.0,6.0,1.0,10.3,16.6,1693003800.0,297.1,42.9,2.2,1.3,11.8,12.3,1.0,1.0,1693003800.0,India,Siddipet,Andhra Pradesh,18.1,78.85,Asia/Kolkata,2023-09-04 05:15:00
2023-08-25 22:55:00,,,,,,,,,,,,,,1693004100.0,26.0,78.8,2.5,4.0,100.0,E,1007.0,29.74,18.2,0.72,94.0,75.0,30.0,86.1,3.5,2.0,1.0,18.1,29.2,1693004100.0,186.9,30.8,2.7,1.4,1.0,1.9,1.0,1.0,1693004100.0,India,Ernakulam,Kerala,9.98,76.28,Asia/Kolkata,2023-09-05 05:00:00
