last_updated_epoch,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
1693000001,243.7,45.8,1.7,3.1,12.6,18.5,1,2
1693000002,240.3,38.3,2.1,2.6,10.7,14.2,1,1
1693000003,220.3,57.2,0.6,1.7,16.8,20.7,2,2
1693000004,200.3,25.0,1.2,1.1,4.9,6.6,1,1
1693000005,257.0,30.8,2.2,1.8,11.4,14.8,1,1
1693000006,223.6,26.1,3.1,3.3,7.9,10.5,1,1
1693000007,263.7,56.5,1.2,1.8,17.1,23.1,2,2
1693000008,260.4,52.9,1.2,1.8,17.3,23.7,2,2
1693000009,243.7,79.4,1.1,5.4,27.4,35.5,2,3
1693000010,210.3,32.2,1.7,1.7,5.7,7.6,1,1
1693000011,260.4,80.8,2.0,7.6,21.9,26.8,2,2
1693000012,210.3,68.0,0.6,0.7,12.5,15.6,1,2
1693000013,257.0,68.0,1.6,1.0,15.9,20.7,2,2
1693000014,205.3,25.0,2.7,4.8,6.2,8.2,1,1
1693000015,237.0,73.0,1.0,2.3,19.3,24.2,2,2
1693000016,243.7,79.4,1.1,5.4,27.4,35.5,2,3
1693000017,227.0,27.9,2.8,3.2,6.2,8.0,1,1
1693000018,208.6,32.9,1.9,2.8,8.0,10.8,1,1
1693000019,205.3,29.3,1.5,1.7,6.8,9.4,1,1
1693000020,253.7,56.5,1.1,1.7,18.5,25.5,2,2
1693000021,220.3,36.8,2.2,1.5,9.9,14.3,1,1
1693000022,247.0,70.1,1.2,2.7,22.8,33.9,2,2
1693000023,243.7,45.8,1.7,2.4,13.1,20.5,1,2
1693000024,220.3,30.0,2.4,2.3,5.2,7.0,1,1
1693000025,247.0,31.5,2.8,4.4,13.5,17.1,1,2
1693000026,205.3,25.0,2.7,4.8,6.2,8.2,1,1
1693000027,227.0,70.8,1.3,2.6,14.4,26.3,1,2
1693000028,233.7,64.4,1.1,1.1,16.4,30.8,2,2
1693000029,247.0,68.0,1.3,1.2,17.3,28.2,2,2
1693000030,217.0,31.1,2.4,2.6,8.9,12.5,1,1
1693000031,203.6,60.8,0.4,0.7,8.0,12.0,1,1
1693000032,198.6,30.0,1.4,2.1,6.5,9.1,1,1
1693000033,230.3,65.8,4.7,14.8,18.2,23.0,2,2
1693000034,233.7,68.7,1.2,1.5,16.7,29.9,2,2
1693000035,237.0,65.1,0.8,2.7,19.9,27.0,2,2
1693000036,203.6,30.0,1.5,1.4,6.2,8.1,1,1
1693000037,397.2,63.7,20.1,38.6,56.4,65.0,3,7
1693000038,257.0,76.5,1.3,4.7,21.9,26.6,2,2
1693000039,208.6,29.0,2.8,2.4,9.5,13.5,1,1
1693000040,230.3,25.4,2.9,3.0,8.4,11.3,1,1
1693000041,223.6,59.4,1.9,0.9,20.8,93.6,2,2
1693000042,243.7,58.7,1.1,1.2,15.0,19.6,1,2
1693000043,223.6,35.1,2.6,3.7,10.7,14.8,1,1
1693000044,240.3,82.3,2.3,7.0,27.2,42.5,2,3
1693000045,243.7,87.3,2.0,8.5,30.1,43.3,2,3
1693000046,193.6,30.8,0.6,0.7,3.3,6.0,1,1
1693000047,213.6,79.4,4.8,19.6,17.9,22.8,2,2
1693000048,243.7,65.1,1.2,1.2,17.1,21.1,2,2
1693000049,240.3,38.3,2.1,2.6,10.7,14.2,1,1
1693000050,191.9,36.1,1.3,3.2,13.7,24.3,1,2
1693000051,433.9,125.9,2.3,10.5,27.8,30.9,2,3
1693000052,240.3,71.5,0.8,2.8,18.3,24.4,2,2
1693000053,423.9,128.8,6.4,2.1,25.3,32.3,2,3
1693000054,433.9,125.9,2.3,10.5,27.8,30.9,2,3
1693000055,250.3,69.4,0.9,0.8,16.9,20.8,2,2
1693000056,467.3,128.8,11.5,2.2,23.5,27.9,2,2
1693000057,353.8,89.4,0.5,0.5,19.0,21.2,2,2
1693000058,253.7,70.8,1.3,2.1,20.2,29.5,2,2
1693000059,948.0,36.5,32.9,5.9,43.8,58.7,3,5
1693000060,894.6,41.1,17.7,3.7,51.2,67.1,3,6
1693000061,327.1,82.3,0.5,0.4,6.3,7.8,1,1
1693000062,894.6,41.1,17.7,3.7,51.2,67.1,3,6
1693000063,894.6,41.1,17.7,3.7,51.2,67.1,3,6
1693000064,948.0,36.5,32.9,5.9,43.8,58.7,3,5
1693000065,176.9,84.4,0.1,0.1,4.6,6.8,1,1
1693000066,741.0,95.8,14.2,8.2,37.3,43.1,2,4
1693000067,317.1,93.0,1.1,0.4,8.1,10.7,1,1
1693000068,741.0,95.8,14.2,8.2,37.3,43.1,2,4
1693000069,277.0,82.3,0.6,0.4,6.9,8.9,1,1
1693000070,741.0,95.8,14.2,8.2,37.3,43.1,2,4
1693000071,948.0,36.5,32.9,5.9,43.8,58.7,3,5
1693000072,741.0,95.8,14.2,8.2,37.3,43.1,2,4
1693000073,243.7,70.1,1.4,2.0,19.7,29.2,2,2
1693000074,454.0,68.7,1.2,2.4,14.3,22.5,1,2
1693000075,948.0,36.5,32.9,5.9,43.8,58.7,3,5
1693000076,567.4,123.0,3.2,2.1,39.1,44.5,2,4
1693000077,237.0,78.0,0.2,0.2,10.3,14.5,1,1
1693000078,280.4,89.4,0.5,0.2,6.4,8.1,1,1
1693000079,173.6,34.7,0.2,0.3,9.9,17.6,1,1
1693000080,178.6,31.8,0.1,0.5,14.4,29.0,1,2
1693000081,193.6,35.4,1.0,1.0,8.9,14.5,1,1
1693000082,195.3,55.1,0.9,0.9,31.6,151.8,2,3
1693000083,210.3,37.9,2.0,2.3,9.6,16.9,1,1
1693000084,317.1,88.0,2.7,4.8,30.1,39.5,2,3
1693000085,195.3,35.8,0.9,1.2,9.7,15.8,1,1
1693000086,203.6,34.7,1.7,1.7,10.1,18.5,1,1
1693000087,188.6,32.9,1.2,1.6,13.0,20.8,1,2
1693000088,217.0,31.1,2.4,2.6,8.9,12.5,1,1
1693000089,183.6,33.6,0.6,0.7,13.9,27.3,1,2
1693000090,208.6,31.8,2.5,2.3,10.0,16.6,1,1
1693000091,190.3,31.8,1.9,2.8,16.1,27.2,2,2
1693000092,186.9,37.6,0.7,0.7,9.3,17.4,1,1
1693000093,178.6,31.8,0.1,0.5,14.4,29.0,1,2
1693000094,188.6,31.1,0.7,0.6,13.7,28.2,1,2
1693000095,183.6,31.5,0.1,0.5,17.1,52.7,2,2
1693000096,178.6,32.5,0.2,0.3,10.0,16.8,1,1
1693000097,178.6,32.5,0.2,0.3,10.0,16.8,1,1
1693000098,190.3,36.8,3.5,7.4,17.2,42.6,2,2
1693000099,185.3,30.0,0.4,0.5,16.0,40.7,2,2
1693000100,173.6,34.7,0.2,0.3,9.9,17.6,1,1
1693000101,217.0,29.3,4.3,8.9,8.4,14.2,1,1
1693000102,195.3,39.7,3.9,9.2,18.2,37.6,2,2
1693000103,212.0,23.3,9.3,32.0,12.1,21.3,1,2
1693000104,173.6,34.7,0.2,0.3,9.9,17.6,1,1
1693000105,333.8,73.0,4.0,5.7,22.8,27.5,2,2
1693000106,377.2,105.9,8.4,23.4,60.0,65.2,3,8
1693000107,280.4,100.1,1.7,5.4,33.7,38.8,2,3
1693000108,220.3,38.3,4.7,6.4,8.2,10.8,1,1
1693000109,201.9,23.6,1.8,0.7,1.3,2.7,1,1
1693000110,267.0,78.0,1.3,1.3,23.3,27.3,2,2
1693000111,203.6,32.5,1.5,0.5,2.7,5.1,1,1
1693000112,257.0,74.4,2.3,5.9,16.6,19.5,2,2
1693000113,263.7,89.4,1.5,3.5,33.6,38.0,2,3
1693000114,183.6,30.4,1.7,1.7,1.6,3.3,1,1
1693000115,340.5,86.6,2.1,5.3,36.5,42.1,2,4
1693000116,198.6,28.3,3.9,5.0,4.0,6.0,1,1
1693000117,247.0,78.0,2.6,10.0,42.9,53.6,3,5
1693000118,270.4,79.4,3.0,5.8,42.6,51.3,3,5
1693000119,220.3,66.5,0.6,3.0,13.8,16.8,1,2
1693000120,263.7,36.1,19.4,34.3,37.8,48.1,2,4
1693000121,223.6,58.7,6.9,9.8,16.2,21.5,2,2
1693000122,220.3,67.2,4.7,11.3,24.4,32.2,2,3
1693000123,250.3,51.5,4.5,6.9,27.0,36.9,2,3
1693000124,273.7,68.7,3.5,5.5,28.0,34.4,2,3
1693000125,240.3,77.3,6.8,14.8,47.4,57.4,3,5
1693000126,205.3,57.9,4.2,8.5,16.4,23.0,2,2
1693000127,467.3,111.6,2.6,9.2,64.6,76.4,3,8
1693000128,380.5,101.6,2.9,6.7,46.5,58.7,3,5
1693000129,267.0,69.4,11.0,23.6,66.1,78.1,4,9
1693000130,240.3,78.7,1.0,1.7,20.5,30.1,2,2
1693000131,220.3,67.2,8.7,15.7,27.4,35.2,2,3
1693000132,260.4,80.8,1.5,4.8,34.7,44.8,2,3
1693000133,207.0,60.8,2.6,6.4,13.4,18.1,1,2
1693000134,223.6,58.7,6.9,9.8,16.2,21.5,2,2
1693000135,260.4,60.8,4.9,13.0,21.3,32.6,2,2
1693000136,223.6,58.7,6.9,9.8,16.2,21.5,2,2
1693000137,333.8,70.1,4.4,5.7,24.7,27.8,2,3
1693000138,460.6,113.0,3.8,10.5,61.1,72.2,3,8
1693000139,600.8,123.0,2.4,10.3,94.3,108.4,4,10
1693000140,514.0,113.0,2.3,7.9,71.9,81.0,4,10
1693000141,350.5,65.8,5.1,5.9,26.4,32.4,2,3
1693000142,380.5,101.6,2.9,6.7,46.5,58.7,3,5
1693000143,188.6,22.5,3.5,6.7,7.2,8.9,1,1
1693000144,363.8,80.8,4.4,5.7,27.1,31.1,2,3
1693000145,397.2,105.9,1.2,3.1,49.0,55.1,3,6
1693000146,383.9,74.4,6.6,5.7,24.4,30.0,2,3
1693000147,240.3,77.3,6.8,14.8,47.4,57.4,3,5
1693000148,327.1,82.3,0.5,0.4,6.3,7.8,1,1
1693000149,480.7,124.5,3.4,8.9,64.5,75.3,3,8
1693000150,423.9,60.1,5.7,5.8,17.8,21.6,2,2
1693000151,407.2,69.4,5.2,8.2,19.0,22.8,2,2
1693000152,640.9,58.7,9.3,9.1,55.1,63.7,3,7
1693000153,330.5,101.6,2.5,7.5,39.7,48.2,2,4
1693000154,567.4,57.2,13.5,16.9,52.6,63.4,3,6
1693000155,480.7,124.5,3.4,8.9,64.5,75.3,3,8
1693000156,337.1,64.4,5.8,6.0,18.9,21.8,2,2
1693000157,310.4,98.7,2.6,14.2,65.7,74.5,4,9
1693000158,474.0,62.9,13.2,17.9,39.6,47.5,2,4
1693000159,427.3,69.4,7.7,9.7,29.4,35.8,2,3
1693000160,417.2,44.7,5.0,3.7,28.7,37.5,2,3
1693000161,460.6,105.9,6.9,15.5,53.3,63.0,3,6
1693000162,460.6,105.9,6.9,15.5,53.3,63.0,3,6
1693000163,640.9,58.7,9.3,9.1,55.1,63.7,3,7
1693000164,460.6,80.8,7.1,12.2,40.7,48.4,3,4
1693000165,377.2,86.6,3.0,4.3,38.6,48.3,2,4
1693000166,460.6,80.8,7.1,12.2,40.7,48.4,3,4
1693000167,540.7,124.5,2.6,9.1,83.0,95.8,4,10
