feature,importance_mean,importance_std
precip_mm,0.35188592846278466,0.03841595763713058
cloud,0.1611684974269471,0.010242862429617661
humidity,0.08584199082429902,0.0040169196859039975
air_quality_Sulphur_dioxide,0.0696891705924065,0.006480226268645318
air_quality_PM10,0.06683993297151641,0.016795698756858955
air_quality_PM2.5,0.05558381119960537,0.006516888571625211
wind_kph,0.04476265426317243,0.007722471492087413
air_quality_Nitrogen_dioxide,0.038820648264390835,0.004543739917185483
air_quality_Carbon_Monoxide,0.03479015330928507,0.005237986008041042
air_quality_Ozone,0.029777480967286933,0.003251764313834973
temperature_celsius,0.028342993274046137,0.0051152197617218695
pressure_mb,0.01720524268345329,0.002867750606367144
visibility_km,0.011121050158348144,0.0017169624847598534
uv_index,0.003977560930395088,0.0017449905846503532
reflectivity_mean,9.47607350836493e-05,9.503535971795311e-05
motion_vector_y,5.362721873176106e-05,7.970980743837117e-05
motion_vector_x,4.324919729565602e-05,8.590352406305153e-05
brightness_temp_min,1.2475209519542472e-06,2.4950419039084944e-06
wind_direction,0.0,0.0
wind_speed,0.0,0.0
pressure,0.0,0.0
dew_point,0.0,0.0
temperature,0.0,0.0
reflectivity_max,0.0,0.0
rain,0.0,0.0
visibility,0.0,0.0
